application_id,officer_id,loan_type_id,submission_date,submission_date_id,end_date,loan_amount,interest_rate,credit_score,applicant_age,applicant_income,num_dependents,outcome,total_processing_days,submission_stage_days,doc_verification_days,credit_check_days,underwriting_days,approval_days,disbursement_days,is_month_end_application,is_anomaly,region,loan_type,date_id,full_date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend,is_month_end,is_quarter_end
APP00001,OFF047,LT04,2022-05-22,20220522,2022-07-03,4849000,15.49,572,44,454000,3,Withdrawn,42.23,5.82,7.68,6.58,9.58,6.17,6.4,False,False,East,Business Loan,20220522,2022-05-22,2022,2,5,May,20,6,Sunday,True,False,False
APP00002,OFF035,LT02,2022-09-20,20220920,,792000,10.09,655,48,796000,0,In Progress,24.1,2.74,4.14,3.86,5.99,3.95,3.42,False,False,North,Home Loan,20220920,2022-09-20,2022,3,9,September,38,1,Tuesday,False,False,False
APP00003,OFF036,LT02,2023-06-27,20230627,2023-08-13,3286000,9.18,677,44,970000,0,Rejected,47.19,6.08,8.51,6.82,10.99,7.42,7.37,True,False,West,Home Loan,20230627,2023-06-27,2023,2,6,June,26,1,Tuesday,False,False,False
APP00004,OFF039,LT04,2023-03-10,20230310,2023-04-13,584000,15.27,560,31,339000,1,Approved,34.61,4.94,5.67,5.6,7.99,5.29,5.12,False,False,Central,Business Loan,20230310,2023-03-10,2023,1,3,March,10,4,Friday,False,False,False
APP00005,OFF049,LT02,2023-10-01,20231001,,1654000,10.19,623,31,969000,3,In Progress,34.16,4.28,6.31,5.12,7.89,5.46,5.1,False,False,South,Home Loan,20231001,2023-10-01,2023,4,10,October,39,6,Sunday,True,False,False
APP00006,OFF043,LT03,2024-06-16,20240616,2024-07-14,1298000,9.97,666,43,1465000,1,Approved,28.45,2.95,4.7,4.38,7.82,4.19,4.41,False,False,North,Auto Loan,20240616,2024-06-16,2024,2,6,June,24,6,Sunday,True,False,False
APP00007,OFF029,LT01,2023-05-23,20230523,,487000,13.01,664,27,1081000,4,In Progress,30.02,3.47,5.28,4.31,7.8,4.66,4.5,False,False,West,Personal Loan,20230523,2023-05-23,2023,2,5,May,21,1,Tuesday,False,False,False
APP00008,OFF022,LT01,2023-04-17,20230417,2023-05-15,159000,13.11,791,24,1704000,1,Rejected,28.29,3.16,4.88,4.32,6.92,4.5,4.51,False,False,North,Personal Loan,20230417,2023-04-17,2023,2,4,April,16,0,Monday,False,False,False
APP00009,OFF001,LT01,2022-05-01,20220501,2022-05-26,134000,12.02,606,62,448000,1,Approved,25.41,3.28,4.88,3.69,6.35,3.89,3.32,False,False,North,Personal Loan,20220501,2022-05-01,2022,2,5,May,17,6,Sunday,True,False,False
APP00010,OFF003,LT03,2022-05-26,20220526,,1391000,9.28,694,60,1821000,2,In Progress,30.77,3.64,5.95,4.07,8.32,4.83,3.96,True,False,North,Auto Loan,20220526,2022-05-26,2022,2,5,May,21,3,Thursday,False,False,False
